CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Auglaize,2019,94,45496,2.066115702479339,-0.8759,47.0,1.0330578512396695,0.0,0.0
Belmont,2019,50,65952,0.7581271227559437,-6.2289,185.0,2.805070354196992,11.0,0.16678796700630763
Brown,2019,147,43156,3.4062471035313746,-3.8049,138.0,3.197701362498841,0.0,0.0
Butler,2019,1770,385402,4.592607199755061,4.4161,1664.0,4.317569706436396,60.0,0.155681599991697
Carroll,2019,38,26578,1.4297539318233126,-7.8624,29.0,1.0911280006020017,0.0,0.0
Champaign,2019,100,39085,2.5585262888576183,-2.4777,61.0,1.560701036203147,10.0,0.2558526288857618
Clark,2019,662,133193,4.9702311683046405,-3.6746,856.0,6.426764169288176,27.0,0.20271335580698685
Clermont,2019,732,208232,3.5153098467094392,5.3784,387.0,1.858503976334089,44.0,0.2113027776710592
Clinton,2019,201,41734,4.816216993338765,-0.4485,127.0,3.0430823788757366,0.0,0.0
Columbiana,2019,428,100703,4.250121644836797,-6.6614,165.0,1.6384814752291392,24.0,0.23832457821514752
Coshocton,2019,135,36608,3.687718531468532,-0.8934,62.0,1.693618881118881,10.0,0.2731643356643357
Crawford,2019,98,41514,2.360649419472949,-5.1195,43.0,1.0357951534422123,15.0,0.36132389073565546
Cuyahoga,2019,4460,1221780,3.650411694413069,-4.4058,6049.0,4.950973170292524,197.0,0.16124015780255038
Darke,2019,130,50741,2.562030704952602,-4.1954,176.0,3.468595415935831,0.0,0.0
Defiance,2019,98,38083,2.5733266811963347,-2.5562,31.0,0.8140115011947587,0.0,0.0
Delaware,2019,303,217349,1.3940712862723086,24.1292,240.0,1.10421488021569,28.0,0.12882506935849716
Erie,2019,248,73772,3.361709049503877,-4.1648,398.0,5.395000813316705,14.0,0.189773897955864
Fairfield,2019,413,160758,2.569078988292962,9.7946,217.0,1.3498550616454543,24.0,0.1492927257119397
Fayette,2019,152,28269,5.376914641480066,-2.5677,200.0,7.074887686157982,0.0,0.0
Franklin,2019,4513,1334870,3.3808535662648795,14.4632,5837.0,4.372710451204986,164.0,0.12285840568744522
Fulton,2019,91,41844,2.174744288308957,-1.8415,58.0,1.3861007551859288,0.0,0.0
Gallia,2019,97,29804,3.254596698429741,-4.0808,80.0,2.6842034626224667,12.0,0.40263051939337
Geauga,2019,144,93057,1.547438666623682,-0.3555,95.0,1.020879675897568,12.0,0.1289532222186402
Greene,2019,637,171919,3.705233278462532,6.3934,514.0,2.989780070847317,19.0,0.11051716215194364
Guernsey,2019,206,38603,5.3363728207652255,-3.865,129.0,3.3417091935859906,0.0,0.0
Hamilton,2019,3244,821529,3.948734615576565,2.3995,3709.0,4.514752370275425,120.0,0.14606909798680265
Hancock,2019,178,75509,2.357334887231986,1.0979,98.0,1.2978585334198571,14.0,0.18540836191712246
Hardin,2019,106,31259,3.391023385265044,-2.7018,73.0,2.335327425701398,0.0,0.0
Harrison,2019,31,14786,2.096577843906398,-6.5656,,,0.0,0.0
Henry,2019,55,26836,2.049485765389775,-4.7389,48.0,1.7886421225219855,0.0,0.0
Highland,2019,165,43379,3.8036838101385455,-0.5548,142.0,3.273473339634385,0.0,0.0
Hocking,2019,105,28078,3.7395825913526606,-4.7493,45.0,1.6026782534368549,0.0,0.0
Holmes,2019,32,44042,0.726579174424413,3.6941,24.0,0.5449343808183098,0.0,0.0
Huron,2019,260,58070,4.47735491648011,-2.5017,361.0,6.216635095574307,16.0,0.2755295333218529
Jackson,2019,126,32507,3.876088227151075,-2.2287,39.0,1.19974159411819,12.0,0.3691512597286738
Jefferson,2019,232,64427,3.600974746612445,-7.5255,93.0,1.4434941872196438,16.0,0.24834308597327207
Knox,2019,108,63166,1.7097805781591362,3.3983,102.0,1.6147927682614065,12.0,0.18997561979545957
Lake,2019,771,230243,3.3486360063063807,0.0996,1146.0,4.977350017155787,47.0,0.20413215602645898
Lawrence,2019,9,58855,0.1529181887690086,-5.7174,347.0,5.895845722538442,0.0,0.0
Licking,2019,355,179254,1.980430004351368,7.5277,190.0,1.0599484530331262,34.0,0.18967498633224364
Logan,2019,136,46352,2.934069727304108,1.3314,73.0,1.5749050742147048,10.0,0.21574042112530203
Lorain,2019,864,311395,2.774611024582925,3.2895,1110.0,3.5646044413044526,52.0,0.16699047833137975
Lucas,2019,1958,425820,4.598187027382462,-3.5371,4035.0,9.475834859799916,81.0,0.19022122023390164
Madison,2019,183,45415,4.029505669932842,4.5609,154.0,3.390950126610151,0.0,0.0
Mahoning,2019,931,227617,4.09020415874034,-4.5155,752.0,3.303795410711854,41.0,0.18012714340317287
Marion,2019,409,64425,6.348467209934032,-3.0591,379.0,5.882809468374078,18.0,0.27939464493597205
Medina,2019,359,181282,1.9803400227270216,5.0855,152.0,0.8384726558621375,31.0,0.17100429165609382
Meigs,2019,82,22593,3.629442747753729,-4.7954,38.0,1.6819368831053865,0.0,0.0
Mercer,2019,73,41612,1.7543016437566088,2.0202,91.0,2.1868691723541285,0.0,0.0
Miami,2019,328,108877,3.012573821835649,6.2349,186.0,1.7083497892116792,12.0,0.11021611543301157
Monroe,2019,10,13388,0.7469375560203168,-8.3579,2.0,0.1493875112040633,0.0,0.0
Montgomery,2019,2470,531861,4.644070537226832,-0.6975,3855.0,7.24813438097548,94.0,0.17673790708474582
Morgan,2019,42,14362,2.924383790558418,-4.4699,33.0,2.2977301211530428,0.0,0.0
Morrow,2019,133,35758,3.719447396386823,2.7824,49.0,1.3703227249846188,0.0,0.0
Muskingum,2019,225,86383,2.6046791614090736,0.196,270.0,3.1256149936908884,17.0,0.1967979810842411
Noble,2019,41,14578,2.812457127177939,-0.5593,0.0,0.0,0.0,0.0
Ottawa,2019,112,40037,2.79741239353598,-3.1964,83.0,2.0730823987811275,12.0,0.29972275645028346
Paulding,2019,26,18532,1.4029786315562272,-5.2411,0.0,0.0,0.0,0.0
Perry,2019,63,36324,1.734390485629336,0.7964,67.0,1.8445105164629447,0.0,0.0
Pickaway,2019,184,59217,3.107215833291116,6.2379,109.0,1.8406876403735413,12.0,0.2026445108668119
Pike,2019,113,27452,4.116275681188984,-4.0542,37.0,1.3478070814512604,0.0,0.0
Portage,2019,443,162394,2.7279332980282525,0.6246,366.0,2.253777848935305,25.0,0.15394657438082687
Preble,2019,141,40624,3.470854667191808,-3.6661,130.0,3.200078771169752,0.0,0.0
Putnam,2019,50,33979,1.4714971011507103,-1.4416,14.0,0.4120191883221989,0.0,0.0
Richland,2019,525,121488,4.321414460687475,-2.1536,371.0,3.053799552219149,12.0,0.09877518767285658
Ross,2019,468,76230,6.13931523022432,-2.3919,344.0,4.512659058113604,11.0,0.1443001443001443
Sandusky,2019,146,58074,2.514033818920688,-4.6169,166.0,2.858422013293384,0.0,0.0
Scioto,2019,336,74982,4.481075458109946,-5.8772,271.0,3.614200741511296,13.0,0.17337494331973008
Seneca,2019,212,55146,3.844340478003845,-2.5999,115.0,2.0853733725020853,14.0,0.2538715410002539
Shelby,2019,132,48526,2.720191237687013,-1.6677,129.0,2.6583687095577626,0.0,0.0
Stark,2019,814,369322,2.204038752091671,-1.6117,826.0,2.2365307238669776,79.0,0.21390548085410563
Summit,2019,225,540333,0.4164098805736462,-0.2422,2422.0,4.48242102555276,102.0,0.1887724791933863
Trumbull,2019,952,196844,4.836317083578875,-6.1933,774.0,3.932047712909715,41.0,0.20828676515413222
Tuscarawas,2019,247,91803,2.690543882008213,-0.7996,179.0,1.9498273476901624,11.0,0.11982179231615525
Union,2019,84,61400,1.3680781758957654,17.0326,66.0,1.0749185667752443,0.0,0.0
Van Wert,2019,59,28319,2.083406899961157,-1.2518,,,0.0,0.0
Vinton,2019,44,12965,3.393752410335519,-3.2824,37.0,2.853837254145777,0.0,0.0
Warren,2019,518,239916,2.159089014488404,12.4102,376.0,1.5672151919838608,32.0,0.133380016339052
